fila,subfila,columna,subcolumna,valor
Total Mundo,1999,Sectores Económicos,EXPORT,"104788627154,09"
Total Mundo,2000,Sectores Económicos,EXPORT,"124177336031,61"
Total Mundo,2001,Sectores Económicos,EXPORT,"129771012807,74"
Total Mundo,2002,Sectores Económicos,EXPORT,"133267677736,83"
Total Mundo,2003,Sectores Económicos,EXPORT,"138119046687,97"
Total Mundo,2004,Sectores Económicos,EXPORT,"146924722492,68"
Total Mundo,2005,Sectores Económicos,EXPORT,"155004733950,63"
Total Mundo,2006,Sectores Económicos,EXPORT,"170438626905,20"
Total Mundo,2007,Sectores Económicos,EXPORT,"185023217517,84"
Total Mundo,2008,Sectores Económicos,EXPORT,"189227851407,26"
Total Mundo,2009,Sectores Económicos,EXPORT,"159889550154,50"
Total Mundo,2010,Sectores Económicos,EXPORT,"186780070554,01"
Total Mundo,2011,Sectores Económicos,EXPORT,"215230370709,55"
Total Mundo,2012,Sectores Económicos,EXPORT,"226114593974,27"
Total Mundo,2013,Sectores Económicos,EXPORT,"235814069043,58"
Total Mundo,2014,Sectores Económicos,EXPORT,"240581830223,43"
Total Mundo,2015,Sectores Económicos,EXPORT,"249794415650,96"
Total Mundo,2016,Sectores Económicos,EXPORT,"256393380079,26"
Total Mundo,2017,Sectores Económicos,EXPORT,"276142906542,52"
Total Mundo,2018,Sectores Económicos,EXPORT,"285260541296,85"
Total Mundo,2019,Sectores Económicos,EXPORT,"290089074083,07"
Total Mundo,2020,Sectores Económicos,EXPORT,"188401334399,52"
720 China,Total Fechas,Sectores Económicos,IMPORT,"366889893190,28"
720 China,1995,Sectores Económicos,IMPORT,"1756610145,22"
720 China,1996,Sectores Económicos,IMPORT,"1841413613,97"
720 China,1997,Sectores Económicos,IMPORT,"2528523371,81"
720 China,1998,Sectores Económicos,IMPORT,"2937500485,19"
720 China,1999,Sectores Económicos,IMPORT,"3686016815,03"
720 China,2000,Sectores Económicos,IMPORT,"4712951300,19"
720 China,2001,Sectores Económicos,IMPORT,"5079226670,53"
720 China,2002,Sectores Económicos,IMPORT,"5770785872,41"
720 China,2003,Sectores Económicos,IMPORT,"6729057630,52"
720 China,2004,Sectores Económicos,IMPORT,"8531327070,37"
720 China,2005,Sectores Económicos,IMPORT,"11709355463,13"
720 China,2006,Sectores Económicos,IMPORT,"14369594802,75"
720 China,2007,Sectores Económicos,IMPORT,"18492718306,55"
720 China,2008,Sectores Económicos,IMPORT,"20492569991,90"
720 China,2009,Sectores Económicos,IMPORT,"14460506292,69"
720 China,2010,Sectores Económicos,IMPORT,"18916432996,11"
720 China,2011,Sectores Económicos,IMPORT,"18704831426,22"
720 China,2012,Sectores Económicos,IMPORT,"17808009569,17"
720 China,2013,Sectores Económicos,IMPORT,"17412712491,93"
720 China,2014,Sectores Económicos,IMPORT,"19938494056,68"
720 China,2015,Sectores Económicos,IMPORT,"23664674482,79"
720 China,2016,Sectores Económicos,IMPORT,"23840226736,76"
720 China,2017,Sectores Económicos,IMPORT,"25829476909,61"
720 China,2018,Sectores Económicos,IMPORT,"26911315552,27"
720 China,2019,Sectores Económicos,IMPORT,"29154505872,13"
720 China,2020,Sectores Económicos,IMPORT,"21611055264,35"
Total Mundo,Total Fechas,Sectores Económicos,IMPORT,"5705644929134,93"
Total Mundo,1995,Sectores Económicos,IMPORT,"87142299550,30"
Total Mundo,1996,Sectores Económicos,IMPORT,"94179479717,84"
Total Mundo,1997,Sectores Económicos,IMPORT,"109468692162,86"
Total Mundo,1998,Sectores Económicos,IMPORT,"122856109630,13"
Total Mundo,1999,Sectores Económicos,IMPORT,"139093706089,08"
Total Mundo,2000,Sectores Económicos,IMPORT,"169468101393,78"
Total Mundo,2001,Sectores Económicos,IMPORT,"173210117182,79"
Total Mundo,2002,Sectores Económicos,IMPORT,"175267866173,18"
Total Mundo,2003,Sectores Económicos,IMPORT,"185113677048,41"
Total Mundo,2004,Sectores Económicos,IMPORT,"208410703586,49"
Total Mundo,2005,Sectores Económicos,IMPORT,"232954465764,67"
Total Mundo,2006,Sectores Económicos,IMPORT,"262687189491,38"
Total Mundo,2007,Sectores Económicos,IMPORT,"285038313419,82"
Total Mundo,2008,Sectores Económicos,IMPORT,"283387764359,93"
Total Mundo,2009,Sectores Económicos,IMPORT,"206116174511,43"
Total Mundo,2010,Sectores Económicos,IMPORT,"240055850103,01"
Total Mundo,2011,Sectores Económicos,IMPORT,"263140740648,54"
Total Mundo,2012,Sectores Económicos,IMPORT,"257945631014,09"
Total Mundo,2013,Sectores Económicos,IMPORT,"252346775229,48"
Total Mundo,2014,Sectores Económicos,IMPORT,"265556606871,96"
Total Mundo,2015,Sectores Económicos,IMPORT,"274772330216,84"
Total Mundo,2016,Sectores Económicos,IMPORT,"273778599396,34"
Total Mundo,2017,Sectores Económicos,IMPORT,"302431158458,12"
Total Mundo,2018,Sectores Económicos,IMPORT,"319647329614,61"
Total Mundo,2019,Sectores Económicos,IMPORT,"322068688113,67"
Total Mundo,2020,Sectores Económicos,IMPORT,"199506559386,17"
