indicador,country,countryiso3code,year,value
GDP (current US$),Algeria,DZA,2018,175405.660377358
GDP (current US$),Algeria,DZA,2019,171091.289782245
GDP (current US$),Algeria,DZA,2020,
GDP (current US$),American Samoa,ASM,1960,
GDP (current US$),American Samoa,ASM,1961,
GDP (current US$),American Samoa,ASM,1962,
GDP (current US$),American Samoa,ASM,1963,
GDP (current US$),American Samoa,ASM,1964,
GDP (current US$),American Samoa,ASM,1965,
GDP (current US$),American Samoa,ASM,1966,
GDP (current US$),American Samoa,ASM,1967,
GDP (current US$),American Samoa,ASM,1968,
GDP (current US$),American Samoa,ASM,1969,
GDP (current US$),American Samoa,ASM,1970,
GDP (current US$),American Samoa,ASM,1971,
GDP (current US$),American Samoa,ASM,1972,
GDP (current US$),American Samoa,ASM,1973,
GDP (current US$),American Samoa,ASM,1974,
GDP (current US$),American Samoa,ASM,1975,
GDP (current US$),American Samoa,ASM,1976,
GDP (current US$),American Samoa,ASM,1977,
GDP (current US$),American Samoa,ASM,1978,
GDP (current US$),American Samoa,ASM,1979,
GDP (current US$),American Samoa,ASM,1980,
GDP (current US$),American Samoa,ASM,1981,
GDP (current US$),American Samoa,ASM,1982,
GDP (current US$),American Samoa,ASM,1983,
GDP (current US$),American Samoa,ASM,1984,
GDP (current US$),American Samoa,ASM,1985,
GDP (current US$),American Samoa,ASM,1986,
GDP (current US$),American Samoa,ASM,1987,
GDP (current US$),American Samoa,ASM,1988,
GDP (current US$),American Samoa,ASM,1989,
GDP (current US$),American Samoa,ASM,1990,
GDP (current US$),American Samoa,ASM,1991,
GDP (current US$),American Samoa,ASM,1992,
GDP (current US$),American Samoa,ASM,1993,
GDP (current US$),American Samoa,ASM,1994,
GDP (current US$),American Samoa,ASM,1995,
GDP (current US$),American Samoa,ASM,1996,
GDP (current US$),American Samoa,ASM,1997,
GDP (current US$),American Samoa,ASM,1998,
GDP (current US$),American Samoa,ASM,1999,
GDP (current US$),American Samoa,ASM,2000,
GDP (current US$),American Samoa,ASM,2001,
GDP (current US$),American Samoa,ASM,2002,514
GDP (current US$),American Samoa,ASM,2003,527
GDP (current US$),American Samoa,ASM,2004,512
GDP (current US$),American Samoa,ASM,2005,503
GDP (current US$),American Samoa,ASM,2006,496
GDP (current US$),American Samoa,ASM,2007,520
GDP (current US$),American Samoa,ASM,2008,563
GDP (current US$),American Samoa,ASM,2009,678
GDP (current US$),American Samoa,ASM,2010,576
GDP (current US$),American Samoa,ASM,2011,574
GDP (current US$),American Samoa,ASM,2012,644
GDP (current US$),American Samoa,ASM,2013,641
GDP (current US$),American Samoa,ASM,2014,642
GDP (current US$),American Samoa,ASM,2015,661
GDP (current US$),American Samoa,ASM,2016,652
GDP (current US$),American Samoa,ASM,2017,602
GDP (current US$),American Samoa,ASM,2018,636
GDP (current US$),American Samoa,ASM,2019,
GDP (current US$),American Samoa,ASM,2020,
GDP (current US$),Andorra,AND,1960,
GDP (current US$),Andorra,AND,1961,
GDP (current US$),Andorra,AND,1962,
GDP (current US$),Andorra,AND,1963,
GDP (current US$),Andorra,AND,1964,
GDP (current US$),Andorra,AND,1965,
GDP (current US$),Andorra,AND,1966,
GDP (current US$),Andorra,AND,1967,
GDP (current US$),Andorra,AND,1968,
GDP (current US$),Andorra,AND,1969,
GDP (current US$),Andorra,AND,1970,78.6192060850963
GDP (current US$),Andorra,AND,1971,89.4098203592814
GDP (current US$),Andorra,AND,1972,113.408231944085
GDP (current US$),Andorra,AND,1973,150.820102798401
GDP (current US$),Andorra,AND,1974,186.558696279204
GDP (current US$),Andorra,AND,1975,220.127246376812
GDP (current US$),Andorra,AND,1976,227.281024620741
GDP (current US$),Andorra,AND,1977,254.020153340635
GDP (current US$),Andorra,AND,1978,308.008897569444
GDP (current US$),Andorra,AND,1979,411.578334159643
GDP (current US$),Andorra,AND,1980,446.416105825017
GDP (current US$),Andorra,AND,1981,388.958731302938
GDP (current US$),Andorra,AND,1982,375.895956383462
GDP (current US$),Andorra,AND,1983,327.861832946636
GDP (current US$),Andorra,AND,1984,330.070689298282
GDP (current US$),Andorra,AND,1985,346.737964774951
GDP (current US$),Andorra,AND,1986,482.00059403588
GDP (current US$),Andorra,AND,1987,611.316399407088
GDP (current US$),Andorra,AND,1988,721.42593915155
GDP (current US$),Andorra,AND,1989,795.449332396346
GDP (current US$),Andorra,AND,1990,1029.04848188051
GDP (current US$),Andorra,AND,1991,1106.92858286629
GDP (current US$),Andorra,AND,1992,1210.01365187713
GDP (current US$),Andorra,AND,1993,1007.02575500065
GDP (current US$),Andorra,AND,1994,1017.54912433238
GDP (current US$),Andorra,AND,1995,1178.73899119295
GDP (current US$),Andorra,AND,1996,1223.94535662682
GDP (current US$),Andorra,AND,1997,1180.59727272727
GDP (current US$),Andorra,AND,1998,1211.93239781713
GDP (current US$),Andorra,AND,1999,1239.87630513531
GDP (current US$),Andorra,AND,2000,1429.04919845218
GDP (current US$),Andorra,AND,2001,1546.92617449664
GDP (current US$),Andorra,AND,2002,1755.91003199699
GDP (current US$),Andorra,AND,2003,2361.72686230248
GDP (current US$),Andorra,AND,2004,2894.92177799851
GDP (current US$),Andorra,AND,2005,3159.90548439249
GDP (current US$),Andorra,AND,2006,3456.442102622
GDP (current US$),Andorra,AND,2007,3952.60060224473
GDP (current US$),Andorra,AND,2008,4085.63058444412
GDP (current US$),Andorra,AND,2009,3674.40955821061
GDP (current US$),Andorra,AND,2010,3449.96685668832
GDP (current US$),Andorra,AND,2011,3629.20378619154
GDP (current US$),Andorra,AND,2012,3188.80894256713
GDP (current US$),Andorra,AND,2013,3193.70434320627
GDP (current US$),Andorra,AND,2014,3271.80815730039
GDP (current US$),Andorra,AND,2015,2789.87018750693
GDP (current US$),Andorra,AND,2016,2896.67921186628
GDP (current US$),Andorra,AND,2017,3000.18075011297
GDP (current US$),Andorra,AND,2018,3218.31601322626
GDP (current US$),Andorra,AND,2019,3154.05798723833
GDP (current US$),Andorra,AND,2020,
GDP (current US$),Angola,AGO,1960,
GDP (current US$),Angola,AGO,1961,
GDP (current US$),Angola,AGO,1962,
GDP (current US$),Angola,AGO,1963,
GDP (current US$),Angola,AGO,1964,
GDP (current US$),Angola,AGO,1965,
GDP (current US$),Angola,AGO,1966,
GDP (current US$),Angola,AGO,1967,
GDP (current US$),Angola,AGO,1968,
GDP (current US$),Angola,AGO,1969,
GDP (current US$),Angola,AGO,1970,
GDP (current US$),Angola,AGO,1971,
GDP (current US$),Angola,AGO,1972,
GDP (current US$),Angola,AGO,1973,
GDP (current US$),Angola,AGO,1974,
GDP (current US$),Angola,AGO,1975,
GDP (current US$),Angola,AGO,1976,
GDP (current US$),Angola,AGO,1977,
GDP (current US$),Angola,AGO,1978,
GDP (current US$),Angola,AGO,1979,
GDP (current US$),Angola,AGO,1980,5930.50340083228
GDP (current US$),Angola,AGO,1981,5550.48303590815
GDP (current US$),Angola,AGO,1982,5550.48303590815
GDP (current US$),Angola,AGO,1983,5784.34159636339
GDP (current US$),Angola,AGO,1984,6131.47506523832
GDP (current US$),Angola,AGO,1985,7553.56045910428
GDP (current US$),Angola,AGO,1986,7072.06334544786
GDP (current US$),Angola,AGO,1987,8083.87201247326
GDP (current US$),Angola,AGO,1988,8769.25054973596
GDP (current US$),Angola,AGO,1989,10201.0990395655
GDP (current US$),Angola,AGO,1990,11228.7649631618
GDP (current US$),Angola,AGO,1991,10603.784541197
GDP (current US$),Angola,AGO,1992,8307.81097358848
GDP (current US$),Angola,AGO,1993,5768.72042161367
GDP (current US$),Angola,AGO,1994,4438.32101739068
GDP (current US$),Angola,AGO,1995,5538.74925994714
GDP (current US$),Angola,AGO,1996,7526.44660551712
GDP (current US$),Angola,AGO,1997,7648.37741283277
GDP (current US$),Angola,AGO,1998,6506.22960729432
GDP (current US$),Angola,AGO,1999,6152.92294298032
GDP (current US$),Angola,AGO,2000,9129.59481860749
GDP (current US$),Angola,AGO,2001,8936.06372320121
GDP (current US$),Angola,AGO,2002,15285.594828418
GDP (current US$),Angola,AGO,2003,17812.705294325
GDP (current US$),Angola,AGO,2004,23552.0524075488
GDP (current US$),Angola,AGO,2005,36970.9186992523
GDP (current US$),Angola,AGO,2006,52381.006892038
GDP (current US$),Angola,AGO,2007,65266.452081386
GDP (current US$),Angola,AGO,2008,88538.6112051433
GDP (current US$),Angola,AGO,2009,70307.163678238
GDP (current US$),Angola,AGO,2010,83799.4966112004
GDP (current US$),Angola,AGO,2011,111789.686464441
GDP (current US$),Angola,AGO,2012,128052.853643106
GDP (current US$),Angola,AGO,2013,136709.862831194
GDP (current US$),Angola,AGO,2014,145712.200312505
GDP (current US$),Angola,AGO,2015,116193.649124151
GDP (current US$),Angola,AGO,2016,101123.851090455
GDP (current US$),Angola,AGO,2017,122123.822333591
GDP (current US$),Angola,AGO,2018,101353.230784594
GDP (current US$),Angola,AGO,2019,88815.697793303
GDP (current US$),Angola,AGO,2020,
GDP (current US$),Antigua and Barbuda,ATG,1960,
GDP (current US$),Antigua and Barbuda,ATG,1961,
GDP (current US$),Antigua and Barbuda,ATG,1962,
GDP (current US$),Antigua and Barbuda,ATG,1963,
GDP (current US$),Antigua and Barbuda,ATG,1964,
GDP (current US$),Antigua and Barbuda,ATG,1965,
GDP (current US$),Antigua and Barbuda,ATG,1966,
GDP (current US$),Antigua and Barbuda,ATG,1967,
GDP (current US$),Antigua and Barbuda,ATG,1968,
GDP (current US$),Antigua and Barbuda,ATG,1969,
GDP (current US$),Antigua and Barbuda,ATG,1970,
GDP (current US$),Antigua and Barbuda,ATG,1971,
GDP (current US$),Antigua and Barbuda,ATG,1972,
GDP (current US$),Antigua and Barbuda,ATG,1973,
GDP (current US$),Antigua and Barbuda,ATG,1974,
GDP (current US$),Antigua and Barbuda,ATG,1975,
GDP (current US$),Antigua and Barbuda,ATG,1976,
GDP (current US$),Antigua and Barbuda,ATG,1977,77.4967537037037
GDP (current US$),Antigua and Barbuda,ATG,1978,87.8793414814815
GDP (current US$),Antigua and Barbuda,ATG,1979,109.079978888889
GDP (current US$),Antigua and Barbuda,ATG,1980,131.431026666667
GDP (current US$),Antigua and Barbuda,ATG,1981,147.841734444444
GDP (current US$),Antigua and Barbuda,ATG,1982,164.369278888889
GDP (current US$),Antigua and Barbuda,ATG,1983,182.144092962963
GDP (current US$),Antigua and Barbuda,ATG,1984,208.372846296296
GDP (current US$),Antigua and Barbuda,ATG,1985,240.923924814815
GDP (current US$),Antigua and Barbuda,ATG,1986,290.440140740741
GDP (current US$),Antigua and Barbuda,ATG,1987,337.174861851852
GDP (current US$),Antigua and Barbuda,ATG,1988,398.637727777778
GDP (current US$),Antigua and Barbuda,ATG,1989,438.794788518519
GDP (current US$),Antigua and Barbuda,ATG,1990,459.47037037037
GDP (current US$),Antigua and Barbuda,ATG,1991,481.707407407407
GDP (current US$),Antigua and Barbuda,ATG,1992,499.281481481481
GDP (current US$),Antigua and Barbuda,ATG,1993,535.174074074074
GDP (current US$),Antigua and Barbuda,ATG,1994,589.42962962963
GDP (current US$),Antigua and Barbuda,ATG,1995,577.281481481481
GDP (current US$),Antigua and Barbuda,ATG,1996,633.72962962963
GDP (current US$),Antigua and Barbuda,ATG,1997,680.618518518518
GDP (current US$),Antigua and Barbuda,ATG,1998,727.859259259259
GDP (current US$),Antigua and Barbuda,ATG,1999,766.2
GDP (current US$),Antigua and Barbuda,ATG,2000,826.37037037037
GDP (current US$),Antigua and Barbuda,ATG,2001,800.481481481481
GDP (current US$),Antigua and Barbuda,ATG,2002,814.381481481481
GDP (current US$),Antigua and Barbuda,ATG,2003,856.396296296296
GDP (current US$),Antigua and Barbuda,ATG,2004,919.72962962963
GDP (current US$),Antigua and Barbuda,ATG,2005,1022.96296296296
GDP (current US$),Antigua and Barbuda,ATG,2006,1157.66296296296
GDP (current US$),Antigua and Barbuda,ATG,2007,1312.75925925926
GDP (current US$),Antigua and Barbuda,ATG,2008,1370.07037037037
GDP (current US$),Antigua and Barbuda,ATG,2009,1228.32962962963
GDP (current US$),Antigua and Barbuda,ATG,2010,1148.7
GDP (current US$),Antigua and Barbuda,ATG,2011,1137.63703703704
GDP (current US$),Antigua and Barbuda,ATG,2012,1199.94814814815
GDP (current US$),Antigua and Barbuda,ATG,2013,1181.44814814815
GDP (current US$),Antigua and Barbuda,ATG,2014,1249.73333333333
GDP (current US$),Antigua and Barbuda,ATG,2015,1336.69259259259
GDP (current US$),Antigua and Barbuda,ATG,2016,1436.58518518519
GDP (current US$),Antigua and Barbuda,ATG,2017,1467.97777777778
GDP (current US$),Antigua and Barbuda,ATG,2018,1605.35185185185
GDP (current US$),Antigua and Barbuda,ATG,2019,1661.96296296296
GDP (current US$),Antigua and Barbuda,ATG,2020,
GDP (current US$),Argentina,ARG,1960,
GDP (current US$),Argentina,ARG,1961,
GDP (current US$),Argentina,ARG,1962,24450.6048776081
GDP (current US$),Argentina,ARG,1963,18272.1236644715
GDP (current US$),Argentina,ARG,1964,25605.2493817597
GDP (current US$),Argentina,ARG,1965,28344.7059666389
GDP (current US$),Argentina,ARG,1966,28630.4747279023
GDP (current US$),Argentina,ARG,1967,24256.6675532569
GDP (current US$),Argentina,ARG,1968,26436.8572474982
GDP (current US$),Argentina,ARG,1969,31256.2845436155
GDP (current US$),Argentina,ARG,1970,31584.2103655447
GDP (current US$),Argentina,ARG,1971,33293.1990954881
GDP (current US$),Argentina,ARG,1972,34733.0005362862
GDP (current US$),Argentina,ARG,1973,52544.0001169037
GDP (current US$),Argentina,ARG,1974,72436.7773424554
GDP (current US$),Argentina,ARG,1975,52438.6479219226
GDP (current US$),Argentina,ARG,1976,51169.4998907722
GDP (current US$),Argentina,ARG,1977,56781.0001009448
GDP (current US$),Argentina,ARG,1978,58082.8701562634
GDP (current US$),Argentina,ARG,1979,69252.3289533789
GDP (current US$),Argentina,ARG,1980,76961.9237419479
GDP (current US$),Argentina,ARG,1981,78676.8423664213
GDP (current US$),Argentina,ARG,1982,84307.486836724
GDP (current US$),Argentina,ARG,1983,103979.106777911
GDP (current US$),Argentina,ARG,1984,79092.001998032
GDP (current US$),Argentina,ARG,1985,88416.6689002596
GDP (current US$),Argentina,ARG,1986,110934.442762694
GDP (current US$),Argentina,ARG,1987,111106.191358197
GDP (current US$),Argentina,ARG,1988,126206.817196091
GDP (current US$),Argentina,ARG,1989,76636.8980364712
GDP (current US$),Argentina,ARG,1990,141352.368714691
GDP (current US$),Argentina,ARG,1991,189719.984268485
GDP (current US$),Argentina,ARG,1992,228788.617201696
GDP (current US$),Argentina,ARG,1993,236741.715015015
GDP (current US$),Argentina,ARG,1994,257440
GDP (current US$),Argentina,ARG,1995,258031.75
GDP (current US$),Argentina,ARG,1996,272149.75
GDP (current US$),Argentina,ARG,1997,292859
GDP (current US$),Argentina,ARG,1998,298948.25
GDP (current US$),Argentina,ARG,1999,283523
GDP (current US$),Argentina,ARG,2000,284203.75
GDP (current US$),Argentina,ARG,2001,268696.75
GDP (current US$),Argentina,ARG,2002,97724.0042518602
GDP (current US$),Argentina,ARG,2003,127586.973492177
GDP (current US$),Argentina,ARG,2004,164657.930452787
GDP (current US$),Argentina,ARG,2005,198737.095012282
GDP (current US$),Argentina,ARG,2006,232557.260817308
GDP (current US$),Argentina,ARG,2007,287530.508430568
GDP (current US$),Argentina,ARG,2008,361558.037110419
GDP (current US$),Argentina,ARG,2009,332976.484577619
GDP (current US$),Argentina,ARG,2010,423627.42209249
GDP (current US$),Argentina,ARG,2011,530163.281574658
GDP (current US$),Argentina,ARG,2012,545982.375701128
GDP (current US$),Argentina,ARG,2013,552025.140252246
GDP (current US$),Argentina,ARG,2014,526319.673731638
GDP (current US$),Argentina,ARG,2015,594749.285413212
GDP (current US$),Argentina,ARG,2016,557531.376217967
GDP (current US$),Argentina,ARG,2017,643628.665302668
GDP (current US$),Argentina,ARG,2018,517626.700412718
GDP (current US$),Argentina,ARG,2019,445445.177459426
GDP (current US$),Argentina,ARG,2020,
GDP (current US$),Armenia,ARM,1960,
GDP (current US$),Armenia,ARM,1961,
GDP (current US$),Armenia,ARM,1962,
GDP (current US$),Armenia,ARM,1963,
GDP (current US$),Armenia,ARM,1964,
GDP (current US$),Armenia,ARM,1965,
GDP (current US$),Armenia,ARM,1966,
GDP (current US$),Armenia,ARM,1967,
GDP (current US$),Armenia,ARM,1968,
GDP (current US$),Armenia,ARM,1969,
GDP (current US$),Armenia,ARM,1970,
GDP (current US$),Armenia,ARM,1971,
GDP (current US$),Armenia,ARM,1972,
GDP (current US$),Armenia,ARM,1973,
GDP (current US$),Armenia,ARM,1974,
GDP (current US$),Armenia,ARM,1975,
GDP (current US$),Armenia,ARM,1976,
GDP (current US$),Armenia,ARM,1977,
GDP (current US$),Armenia,ARM,1978,
GDP (current US$),Armenia,ARM,1979,
GDP (current US$),Armenia,ARM,1980,
GDP (current US$),Armenia,ARM,1981,
GDP (current US$),Armenia,ARM,1982,
GDP (current US$),Armenia,ARM,1983,
GDP (current US$),Armenia,ARM,1984,
GDP (current US$),Armenia,ARM,1985,
GDP (current US$),Armenia,ARM,1986,
GDP (current US$),Armenia,ARM,1987,
GDP (current US$),Armenia,ARM,1988,
GDP (current US$),Armenia,ARM,1989,
GDP (current US$),Armenia,ARM,1990,2256.83885842714
GDP (current US$),Armenia,ARM,1991,2068.52652190299
GDP (current US$),Armenia,ARM,1992,1272.57745612712
GDP (current US$),Armenia,ARM,1993,1201.31320101272
GDP (current US$),Armenia,ARM,1994,1315.15867028285
GDP (current US$),Armenia,ARM,1995,1468.31735006841
GDP (current US$),Armenia,ARM,1996,1596.96891327897
GDP (current US$),Armenia,ARM,1997,1639.49242436472
GDP (current US$),Armenia,ARM,1998,1893.72643726462
GDP (current US$),Armenia,ARM,1999,1845.48218144801
GDP (current US$),Armenia,ARM,2000,1911.56366539006
GDP (current US$),Armenia,ARM,2001,2118.46791337873
GDP (current US$),Armenia,ARM,2002,2376.33504839976
GDP (current US$),Armenia,ARM,2003,2807.06100869084
GDP (current US$),Armenia,ARM,2004,3576.61524041616
GDP (current US$),Armenia,ARM,2005,4900.46995009033
GDP (current US$),Armenia,ARM,2006,6384.4516061421
GDP (current US$),Armenia,ARM,2007,9206.30170039619
GDP (current US$),Armenia,ARM,2008,11662.0407138753
GDP (current US$),Armenia,ARM,2009,8647.93674798704
GDP (current US$),Armenia,ARM,2010,9260.28493779781
